target_date,year,month,week_start_date,season_window,daily_order_target,actual_orders,daily_assembly_target,actual_assembled,daily_ship_target,actual_shipped_48h,backlog_eod,on_time_ship_rate,target_met_flag
2020-01-28,2020,1,2020-01-27,Normal,42.0,32,42.0,31,42.0,29,3,0.9062,False
2020-01-29,2020,1,2020-01-27,Normal,42.0,49,42.0,51,42.0,48,4,0.9796,True
2020-01-30,2020,1,2020-01-27,Normal,42.0,43,42.0,48,42.0,47,0,1.093,True
2020-01-31,2020,1,2020-01-27,Normal,42.0,41,42.0,41,42.0,40,1,0.9756,False
2020-02-01,2020,2,2020-01-27,Normal,42.0,40,42.0,40,42.0,40,1,1.0,False
2020-02-02,2020,2,2020-01-27,Normal,42.0,22,42.0,22,42.0,21,2,0.9545,False
2020-02-03,2020,2,2020-02-03,Normal,42.0,41,42.0,44,42.0,44,0,1.0732,True
2020-02-04,2020,2,2020-02-03,Normal,42.0,45,42.0,44,42.0,42,3,0.9333,True
2020-02-05,2020,2,2020-02-03,Normal,42.0,45,42.0,48,42.0,46,2,1.0222,True
2020-02-06,2020,2,2020-02-03,Normal,42.0,32,42.0,33,42.0,31,3,0.9688,False
2020-02-07,2020,2,2020-02-03,Normal,42.0,38,42.0,41,42.0,41,0,1.0789,False
2020-02-08,2020,2,2020-02-03,Normal,42.0,40,42.0,39,42.0,38,2,0.95,False
2020-02-09,2020,2,2020-02-03,Normal,42.0,34,42.0,34,42.0,33,3,0.9706,False
2020-02-10,2020,2,2020-02-10,Normal,42.0,40,42.0,42,42.0,40,3,1.0,False
2020-02-11,2020,2,2020-02-10,Normal,42.0,39,42.0,42,42.0,41,1,1.0513,False
2020-02-12,2020,2,2020-02-10,Normal,42.0,41,42.0,39,42.0,37,5,0.9024,False
2020-02-13,2020,2,2020-02-10,Normal,42.0,46,42.0,51,42.0,50,1,1.087,True
2020-02-14,2020,2,2020-02-10,Normal,42.0,40,42.0,40,42.0,40,1,1.0,False
2020-02-15,2020,2,2020-02-10,Normal,42.0,35,42.0,37,42.0,36,0,1.0286,False
2020-02-16,2020,2,2020-02-10,Normal,42.0,25,42.0,24,42.0,23,2,0.92,False
2020-02-17,2020,2,2020-02-17,Normal,42.0,52,42.0,52,42.0,51,3,0.9808,True
2020-02-18,2020,2,2020-02-17,Normal,42.0,44,42.0,46,42.0,46,1,1.0455,True
2020-02-19,2020,2,2020-02-17,Normal,42.0,46,42.0,47,42.0,45,2,0.9783,True
2020-02-20,2020,2,2020-02-17,Easter,55.0,57,55.0,57,55.0,57,2,1.0,True
2020-02-21,2020,2,2020-02-17,Easter,55.0,57,55.0,57,55.0,53,6,0.9298,False
2020-02-22,2020,2,2020-02-17,Easter,55.0,49,55.0,54,55.0,51,4,1.0408,False
2020-02-23,2020,2,2020-02-17,Easter,55.0,48,55.0,49,55.0,47,5,0.9792,False
2020-02-24,2020,2,2020-02-24,Easter,55.0,46,55.0,52,55.0,48,3,1.0435,False
2020-02-25,2020,2,2020-02-24,Easter,55.0,62,55.0,66,55.0,64,1,1.0323,True
2020-02-26,2020,2,2020-02-24,Easter,55.0,55,55.0,52,55.0,51,5,0.9273,False
2020-02-27,2020,2,2020-02-24,Easter,55.0,58,55.0,63,55.0,60,3,1.0345,True
2020-02-28,2020,2,2020-02-24,Easter,55.0,47,55.0,48,55.0,45,5,0.9574,False
2020-02-29,2020,2,2020-02-24,Easter,55.0,54,55.0,59,55.0,56,3,1.037,True
2020-03-01,2020,3,2020-02-24,Easter,55.0,49,55.0,54,55.0,52,0,1.0612,False
2020-03-02,2020,3,2020-03-02,Easter,55.0,56,55.0,58,55.0,52,4,0.9286,False
2020-03-03,2020,3,2020-03-02,Easter,55.0,48,55.0,54,55.0,53,0,1.1042,False
2020-03-04,2020,3,2020-03-02,Easter,55.0,61,55.0,58,55.0,55,6,0.9016,True
2020-03-05,2020,3,2020-03-02,Easter,55.0,58,55.0,61,55.0,58,6,1.0,True
2020-03-06,2020,3,2020-03-02,Easter,55.0,56,55.0,61,55.0,59,3,1.0536,True
2020-03-07,2020,3,2020-03-02,Easter,55.0,60,55.0,57,55.0,56,7,0.9333,True
2020-03-08,2020,3,2020-03-02,Easter,55.0,42,55.0,45,55.0,44,5,1.0476,False
2020-03-09,2020,3,2020-03-09,Easter,55.0,52,55.0,58,55.0,55,2,1.0577,True
2020-03-10,2020,3,2020-03-09,Easter,55.0,53,55.0,54,55.0,52,3,0.9811,False
2020-03-11,2020,3,2020-03-09,Easter,55.0,46,55.0,47,55.0,45,4,0.9783,False
2020-03-12,2020,3,2020-03-09,Easter,55.0,65,55.0,67,55.0,67,2,1.0308,True
2020-03-13,2020,3,2020-03-09,Easter,55.0,53,55.0,54,55.0,53,2,1.0,False
2020-03-14,2020,3,2020-03-09,Easter,55.0,54,55.0,57,55.0,55,1,1.0185,True
2020-03-15,2020,3,2020-03-09,Easter,55.0,44,55.0,43,55.0,40,5,0.9091,False
2020-03-16,2020,3,2020-03-16,Easter,55.0,59,55.0,58,55.0,56,8,0.9492,True
2020-03-17,2020,3,2020-03-16,Easter,55.0,55,55.0,62,55.0,58,5,1.0545,True
2020-03-18,2020,3,2020-03-16,Easter,55.0,57,55.0,61,55.0,60,2,1.0526,True
2020-03-19,2020,3,2020-03-16,Easter,55.0,54,55.0,55,55.0,55,1,1.0185,True
2020-03-20,2020,3,2020-03-16,Easter,55.0,53,55.0,52,55.0,51,3,0.9623,False
2020-03-21,2020,3,2020-03-16,Easter,55.0,38,55.0,36,55.0,35,6,0.9211,False
2020-03-22,2020,3,2020-03-16,Easter,55.0,50,55.0,53,55.0,51,5,1.02,False
2020-03-23,2020,3,2020-03-23,Easter,55.0,48,55.0,51,55.0,49,4,1.0208,False
2020-03-24,2020,3,2020-03-23,Easter,55.0,54,55.0,54,55.0,52,6,0.963,False
2020-03-25,2020,3,2020-03-23,Easter,55.0,59,55.0,66,55.0,66,0,1.1186,True
2020-03-26,2020,3,2020-03-23,Easter,55.0,44,55.0,44,55.0,41,3,0.9318,False
2020-03-27,2020,3,2020-03-23,Easter,55.0,64,55.0,62,55.0,61,6,0.9531,True
2020-03-28,2020,3,2020-03-23,Easter,55.0,49,55.0,51,55.0,48,7,0.9796,False
2020-03-29,2020,3,2020-03-23,Easter,55.0,48,55.0,54,55.0,52,3,1.0833,False
2020-03-30,2020,3,2020-03-30,Easter,55.0,63,55.0,70,55.0,69,0,1.0952,True
2020-03-31,2020,3,2020-03-30,Easter,55.0,47,55.0,46,55.0,43,4,0.9149,False
2020-04-01,2020,4,2020-03-30,Easter,55.0,58,55.0,58,55.0,57,5,0.9828,True
2020-04-02,2020,4,2020-03-30,Easter,55.0,47,55.0,51,55.0,48,4,1.0213,False
2020-04-03,2020,4,2020-03-30,Easter,55.0,51,55.0,58,55.0,56,0,1.098,True
2020-04-04,2020,4,2020-03-30,Easter,55.0,49,55.0,53,55.0,51,0,1.0408,False
2020-04-05,2020,4,2020-03-30,Easter,55.0,47,55.0,43,55.0,41,6,0.8723,False
2020-04-06,2020,4,2020-04-06,Easter,55.0,52,55.0,56,55.0,55,3,1.0577,True
2020-04-07,2020,4,2020-04-06,Easter,55.0,59,55.0,59,55.0,58,4,0.9831,True
2020-04-08,2020,4,2020-04-06,Normal,42.0,35,42.0,36,42.0,36,3,1.0286,False
2020-04-09,2020,4,2020-04-06,Normal,42.0,50,42.0,49,42.0,48,5,0.96,True
2020-04-10,2020,4,2020-04-06,Normal,42.0,29,42.0,35,42.0,34,0,1.1724,False
2020-04-11,2020,4,2020-04-06,Normal,42.0,36,42.0,37,42.0,35,1,0.9722,False
2020-04-12,2020,4,2020-04-06,Normal,42.0,41,42.0,43,42.0,41,1,1.0,False
2020-04-13,2020,4,2020-04-13,Normal,42.0,36,42.0,33,42.0,31,6,0.8611,False
2020-04-14,2020,4,2020-04-13,Normal,42.0,40,42.0,45,42.0,44,2,1.1,True
2020-04-15,2020,4,2020-04-13,Normal,42.0,45,42.0,43,42.0,42,5,0.9333,True
2020-04-16,2020,4,2020-04-13,Normal,42.0,40,42.0,42,42.0,41,4,1.025,False
2020-04-17,2020,4,2020-04-13,Normal,42.0,43,42.0,45,42.0,44,3,1.0233,True
2020-04-18,2020,4,2020-04-13,Normal,42.0,38,42.0,39,42.0,37,4,0.9737,False
2020-04-19,2020,4,2020-04-13,Normal,42.0,30,42.0,29,42.0,27,7,0.9,False
2020-04-20,2020,4,2020-04-20,Normal,42.0,37,42.0,44,42.0,44,0,1.1892,True
2020-04-21,2020,4,2020-04-20,Normal,42.0,45,42.0,42,42.0,41,4,0.9111,False
2020-04-22,2020,4,2020-04-20,Normal,42.0,39,42.0,42,42.0,40,3,1.0256,False
2020-04-23,2020,4,2020-04-20,Normal,42.0,37,42.0,41,42.0,40,0,1.0811,False
2020-04-24,2020,4,2020-04-20,Normal,42.0,44,42.0,42,42.0,41,3,0.9318,False
2020-04-25,2020,4,2020-04-20,Normal,42.0,38,42.0,40,42.0,38,3,1.0,False
2020-04-26,2020,4,2020-04-20,Normal,42.0,39,42.0,38,42.0,34,8,0.8718,False
2020-04-27,2020,4,2020-04-27,Normal,42.0,45,42.0,51,42.0,48,5,1.0667,True
2020-04-28,2020,4,2020-04-27,Normal,42.0,52,42.0,53,42.0,53,4,1.0192,True
2020-04-29,2020,4,2020-04-27,Normal,42.0,48,42.0,51,42.0,50,2,1.0417,True
2020-04-30,2020,4,2020-04-27,Normal,42.0,48,42.0,47,42.0,47,3,0.9792,True
2020-05-01,2020,5,2020-04-27,Normal,42.0,48,42.0,49,42.0,47,4,0.9792,True
2020-05-02,2020,5,2020-04-27,Normal,42.0,39,42.0,40,42.0,38,5,0.9744,False
2020-05-03,2020,5,2020-04-27,Normal,42.0,39,42.0,41,42.0,40,4,1.0256,False
2020-05-04,2020,5,2020-05-04,Normal,42.0,43,42.0,45,42.0,44,3,1.0233,True
2020-05-05,2020,5,2020-05-04,Normal,42.0,55,42.0,60,42.0,59,0,1.0727,True
2020-05-06,2020,5,2020-05-04,Normal,42.0,31,42.0,32,42.0,31,0,1.0,False
2020-05-07,2020,5,2020-05-04,Normal,42.0,29,42.0,27,42.0,25,4,0.8621,False
2020-05-08,2020,5,2020-05-04,Normal,42.0,36,42.0,38,42.0,35,5,0.9722,False
2020-05-09,2020,5,2020-05-04,Normal,42.0,37,42.0,41,42.0,41,1,1.1081,False
2020-05-10,2020,5,2020-05-04,Normal,42.0,45,42.0,47,42.0,47,0,1.0444,True
2020-05-11,2020,5,2020-05-11,Normal,42.0,35,42.0,31,42.0,30,5,0.8571,False
2020-05-12,2020,5,2020-05-11,Normal,42.0,35,42.0,37,42.0,37,3,1.0571,False
2020-05-13,2020,5,2020-05-11,Normal,42.0,30,42.0,29,42.0,28,5,0.9333,False
2020-05-14,2020,5,2020-05-11,Normal,42.0,35,42.0,38,42.0,38,2,1.0857,False
2020-05-15,2020,5,2020-05-11,Normal,42.0,33,42.0,34,42.0,32,3,0.9697,False
2020-05-16,2020,5,2020-05-11,Normal,42.0,32,42.0,35,42.0,34,1,1.0625,False
2020-05-17,2020,5,2020-05-11,Normal,42.0,39,42.0,39,42.0,37,3,0.9487,False
2020-05-18,2020,5,2020-05-18,Normal,42.0,56,42.0,63,42.0,61,0,1.0893,True
2020-05-19,2020,5,2020-05-18,Normal,42.0,45,42.0,42,42.0,42,3,0.9333,True
2020-05-20,2020,5,2020-05-18,Normal,42.0,50,42.0,55,42.0,54,0,1.08,True
2020-05-21,2020,5,2020-05-18,Normal,42.0,47,42.0,48,42.0,46,1,0.9787,True
2020-05-22,2020,5,2020-05-18,Normal,42.0,40,42.0,38,42.0,35,6,0.875,False
2020-05-23,2020,5,2020-05-18,Normal,42.0,39,42.0,40,42.0,38,7,0.9744,False
2020-05-24,2020,5,2020-05-18,Normal,42.0,33,42.0,40,42.0,40,0,1.2121,False
2020-05-25,2020,5,2020-05-25,Normal,42.0,52,42.0,50,42.0,49,3,0.9423,True
2020-05-26,2020,5,2020-05-25,Normal,42.0,48,42.0,51,42.0,47,4,0.9792,True
2020-05-27,2020,5,2020-05-25,Normal,42.0,45,42.0,51,42.0,50,0,1.1111,True
2020-05-28,2020,5,2020-05-25,Normal,42.0,48,42.0,47,42.0,45,3,0.9375,True
2020-05-29,2020,5,2020-05-25,Normal,42.0,36,42.0,39,42.0,37,2,1.0278,False
2020-05-30,2020,5,2020-05-25,Normal,42.0,42,42.0,42,42.0,41,3,0.9762,False
2020-05-31,2020,5,2020-05-25,Normal,42.0,43,42.0,47,42.0,47,0,1.093,True
2020-06-01,2020,6,2020-06-01,Normal,42.0,46,42.0,48,42.0,46,0,1.0,True
2020-06-02,2020,6,2020-06-01,Normal,42.0,43,42.0,40,42.0,38,5,0.8837,False
2020-06-03,2020,6,2020-06-01,Normal,42.0,36,42.0,40,42.0,39,2,1.0833,False
2020-06-04,2020,6,2020-06-01,Normal,42.0,45,42.0,45,42.0,45,2,1.0,True
2020-06-05,2020,6,2020-06-01,Normal,42.0,36,42.0,37,42.0,35,3,0.9722,False
2020-06-06,2020,6,2020-06-01,Normal,42.0,31,42.0,33,42.0,32,2,1.0323,False
2020-06-07,2020,6,2020-06-01,Normal,42.0,28,42.0,30,42.0,29,1,1.0357,False
2020-06-08,2020,6,2020-06-08,Normal,42.0,55,42.0,53,42.0,49,7,0.8909,True
2020-06-09,2020,6,2020-06-08,Normal,42.0,33,42.0,40,42.0,38,2,1.1515,False
2020-06-10,2020,6,2020-06-08,Normal,42.0,40,42.0,39,42.0,39,3,0.975,False
2020-06-11,2020,6,2020-06-08,Normal,42.0,53,42.0,57,42.0,56,0,1.0566,True
2020-06-12,2020,6,2020-06-08,Normal,42.0,30,42.0,30,42.0,29,1,0.9667,False
2020-06-13,2020,6,2020-06-08,Normal,42.0,38,42.0,40,42.0,40,0,1.0526,False
2020-06-14,2020,6,2020-06-08,Normal,42.0,31,42.0,29,42.0,27,4,0.871,False
2020-06-15,2020,6,2020-06-15,Normal,42.0,49,42.0,53,42.0,49,4,1.0,True
2020-06-16,2020,6,2020-06-15,Normal,42.0,35,42.0,39,42.0,37,2,1.0571,False
2020-06-17,2020,6,2020-06-15,Normal,42.0,47,42.0,45,42.0,44,5,0.9362,True
2020-06-18,2020,6,2020-06-15,Normal,42.0,42,42.0,42,42.0,42,5,1.0,True
2020-06-19,2020,6,2020-06-15,Normal,42.0,47,42.0,48,42.0,44,8,0.9362,True
2020-06-20,2020,6,2020-06-15,Normal,42.0,32,42.0,37,42.0,35,5,1.0938,False
2020-06-21,2020,6,2020-06-15,Normal,42.0,38,42.0,42,42.0,40,3,1.0526,False
2020-06-22,2020,6,2020-06-22,Normal,42.0,31,42.0,32,42.0,32,2,1.0323,False
2020-06-23,2020,6,2020-06-22,Normal,42.0,35,42.0,37,42.0,36,1,1.0286,False
2020-06-24,2020,6,2020-06-22,Normal,42.0,47,42.0,44,42.0,42,6,0.8936,True
2020-06-25,2020,6,2020-06-22,Normal,42.0,48,42.0,53,42.0,52,2,1.0833,True
2020-06-26,2020,6,2020-06-22,Normal,42.0,39,42.0,39,42.0,36,5,0.9231,False
2020-06-27,2020,6,2020-06-22,Normal,42.0,27,42.0,31,42.0,30,2,1.1111,False
2020-06-28,2020,6,2020-06-22,Normal,42.0,31,42.0,33,42.0,32,1,1.0323,False
2020-06-29,2020,6,2020-06-29,Normal,42.0,26,42.0,26,42.0,24,3,0.9231,False
2020-06-30,2020,6,2020-06-29,Normal,42.0,43,42.0,41,42.0,40,6,0.9302,False
2020-07-01,2020,7,2020-06-29,Normal,42.0,34,42.0,39,42.0,37,3,1.0882,False
2020-07-02,2020,7,2020-06-29,Normal,42.0,35,42.0,37,42.0,37,1,1.0571,False
2020-07-03,2020,7,2020-06-29,Normal,42.0,58,42.0,55,42.0,53,6,0.9138,True
2020-07-04,2020,7,2020-06-29,Normal,42.0,37,42.0,44,42.0,42,1,1.1351,True
2020-07-05,2020,7,2020-06-29,Normal,42.0,37,42.0,36,42.0,35,3,0.9459,False
2020-07-06,2020,7,2020-07-06,Normal,42.0,48,42.0,50,42.0,50,1,1.0417,True
2020-07-07,2020,7,2020-07-06,Normal,42.0,48,42.0,45,42.0,43,6,0.8958,True
2020-07-08,2020,7,2020-07-06,Normal,42.0,54,42.0,62,42.0,58,2,1.0741,True
2020-07-09,2020,7,2020-07-06,Normal,42.0,43,42.0,43,42.0,40,5,0.9302,False
2020-07-10,2020,7,2020-07-06,Normal,42.0,42,42.0,47,42.0,45,2,1.0714,True
2020-07-11,2020,7,2020-07-06,Normal,42.0,28,42.0,29,42.0,29,1,1.0357,False
2020-07-12,2020,7,2020-07-06,Normal,42.0,28,42.0,28,42.0,27,2,0.9643,False
2020-07-13,2020,7,2020-07-13,Normal,42.0,52,42.0,54,42.0,51,3,0.9808,True
2020-07-14,2020,7,2020-07-13,Normal,42.0,34,42.0,33,42.0,31,6,0.9118,False
2020-07-15,2020,7,2020-07-13,Normal,42.0,55,42.0,56,42.0,53,8,0.9636,True
2020-07-16,2020,7,2020-07-13,Normal,42.0,43,42.0,50,42.0,49,2,1.1395,True
2020-07-17,2020,7,2020-07-13,Normal,42.0,50,42.0,48,42.0,46,6,0.92,True
2020-07-18,2020,7,2020-07-13,Normal,42.0,25,42.0,29,42.0,28,3,1.12,False
2020-07-19,2020,7,2020-07-13,Normal,42.0,38,42.0,40,42.0,38,3,1.0,False
2020-07-20,2020,7,2020-07-20,Normal,42.0,37,42.0,40,42.0,38,2,1.027,False
2020-07-21,2020,7,2020-07-20,Normal,42.0,37,42.0,39,42.0,37,2,1.0,False
2020-07-22,2020,7,2020-07-20,Normal,42.0,40,42.0,38,42.0,37,5,0.925,False
2020-07-23,2020,7,2020-07-20,Normal,42.0,53,42.0,57,42.0,54,4,1.0189,True
2020-07-24,2020,7,2020-07-20,Normal,42.0,36,42.0,39,42.0,38,2,1.0556,False
2020-07-25,2020,7,2020-07-20,Normal,42.0,42,42.0,43,42.0,42,2,1.0,True
2020-07-26,2020,7,2020-07-20,Normal,42.0,34,42.0,35,42.0,33,3,0.9706,False
2020-07-27,2020,7,2020-07-27,Normal,42.0,49,42.0,49,42.0,49,3,1.0,True
2020-07-28,2020,7,2020-07-27,Normal,42.0,49,42.0,52,42.0,49,3,1.0,True
2020-07-29,2020,7,2020-07-27,Normal,42.0,41,42.0,45,42.0,45,0,1.0976,True
2020-07-30,2020,7,2020-07-27,Normal,42.0,33,42.0,33,42.0,31,2,0.9394,False
2020-07-31,2020,7,2020-07-27,Normal,42.0,38,42.0,39,42.0,39,1,1.0263,False
2020-08-01,2020,8,2020-07-27,Normal,42.0,47,42.0,48,42.0,47,1,1.0,True
2020-08-02,2020,8,2020-07-27,Normal,42.0,27,42.0,28,42.0,27,1,1.0,False
2020-08-03,2020,8,2020-08-03,Normal,42.0,53,42.0,52,42.0,51,3,0.9623,True
2020-08-04,2020,8,2020-08-03,Normal,42.0,46,42.0,47,42.0,46,3,1.0,True
2020-08-05,2020,8,2020-08-03,Normal,42.0,37,42.0,36,42.0,34,6,0.9189,False
2020-08-06,2020,8,2020-08-03,Normal,42.0,52,42.0,58,42.0,58,0,1.1154,True
2020-08-07,2020,8,2020-08-03,Normal,42.0,42,42.0,41,42.0,41,1,0.9762,False
2020-08-08,2020,8,2020-08-03,Normal,42.0,44,42.0,39,42.0,38,7,0.8636,False
2020-08-09,2020,8,2020-08-03,Normal,42.0,35,42.0,43,42.0,43,0,1.2286,True
2020-08-10,2020,8,2020-08-10,Normal,42.0,42,42.0,41,42.0,40,2,0.9524,False
2020-08-11,2020,8,2020-08-10,Normal,42.0,39,42.0,39,42.0,36,5,0.9231,False
2020-08-12,2020,8,2020-08-10,Normal,42.0,36,42.0,39,42.0,37,4,1.0278,False
2020-08-13,2020,8,2020-08-10,Normal,42.0,40,42.0,41,42.0,40,4,1.0,False
2020-08-14,2020,8,2020-08-10,Normal,42.0,37,42.0,37,42.0,34,7,0.9189,False
2020-08-15,2020,8,2020-08-10,Normal,42.0,22,42.0,28,42.0,26,3,1.1818,False
2020-08-16,2020,8,2020-08-10,Normal,42.0,27,42.0,29,42.0,28,2,1.037,False
2020-08-17,2020,8,2020-08-17,Normal,42.0,39,42.0,40,42.0,39,2,1.0,False
2020-08-18,2020,8,2020-08-17,Normal,42.0,43,42.0,44,42.0,42,3,0.9767,True
2020-08-19,2020,8,2020-08-17,Normal,42.0,43,42.0,46,42.0,46,0,1.0698,True
2020-08-20,2020,8,2020-08-17,Normal,42.0,38,42.0,39,42.0,37,1,0.9737,False
2020-08-21,2020,8,2020-08-17,Normal,42.0,44,42.0,46,42.0,45,0,1.0227,True
2020-08-22,2020,8,2020-08-17,Normal,42.0,44,42.0,45,42.0,45,0,1.0227,True
2020-08-23,2020,8,2020-08-17,Normal,42.0,38,42.0,40,42.0,38,0,1.0,False
2020-08-24,2020,8,2020-08-24,Normal,42.0,40,42.0,39,42.0,37,3,0.925,False
2020-08-25,2020,8,2020-08-24,Normal,42.0,52,42.0,53,42.0,51,4,0.9808,True
2020-08-26,2020,8,2020-08-24,Normal,42.0,59,42.0,58,42.0,54,9,0.9153,True
2020-08-27,2020,8,2020-08-24,Normal,42.0,49,42.0,53,42.0,50,8,1.0204,True
2020-08-28,2020,8,2020-08-24,Normal,42.0,43,42.0,48,42.0,47,4,1.093,True
2020-08-29,2020,8,2020-08-24,Normal,42.0,44,42.0,50,42.0,50,0,1.1364,True
2020-08-30,2020,8,2020-08-24,Normal,42.0,45,42.0,46,42.0,44,1,0.9778,True
2020-08-31,2020,8,2020-08-31,Normal,42.0,34,42.0,34,42.0,33,2,0.9706,False
2020-09-01,2020,9,2020-08-31,Normal,42.0,47,42.0,44,42.0,44,5,0.9362,True
2020-09-02,2020,9,2020-08-31,Normal,42.0,47,42.0,53,42.0,51,1,1.0851,True
2020-09-03,2020,9,2020-08-31,Normal,42.0,44,42.0,44,42.0,42,3,0.9545,True
2020-09-04,2020,9,2020-08-31,Normal,42.0,39,42.0,39,42.0,37,5,0.9487,False
2020-09-05,2020,9,2020-08-31,Normal,42.0,32,42.0,37,42.0,36,1,1.125,False
2020-09-06,2020,9,2020-08-31,Normal,42.0,38,42.0,36,42.0,35,4,0.9211,False
2020-09-07,2020,9,2020-09-07,Normal,42.0,42,42.0,45,42.0,42,4,1.0,True
2020-09-08,2020,9,2020-09-07,Normal,42.0,38,42.0,42,42.0,40,2,1.0526,False
2020-09-09,2020,9,2020-09-07,Normal,42.0,36,42.0,37,42.0,36,2,1.0,False
2020-09-10,2020,9,2020-09-07,Normal,42.0,41,42.0,41,42.0,40,3,0.9756,False
2020-09-11,2020,9,2020-09-07,Normal,42.0,43,42.0,45,42.0,43,3,1.0,True
2020-09-12,2020,9,2020-09-07,Normal,42.0,32,42.0,33,42.0,32,3,1.0,False
2020-09-13,2020,9,2020-09-07,Normal,42.0,31,42.0,32,42.0,30,4,0.9677,False
2020-09-14,2020,9,2020-09-14,Normal,42.0,51,42.0,53,42.0,52,3,1.0196,True
2020-09-15,2020,9,2020-09-14,Normal,42.0,44,42.0,47,42.0,47,0,1.0682,True
2020-09-16,2020,9,2020-09-14,Normal,42.0,32,42.0,30,42.0,29,3,0.9062,False
2020-09-17,2020,9,2020-09-14,Normal,42.0,36,42.0,37,42.0,35,4,0.9722,False
2020-09-18,2020,9,2020-09-14,Normal,42.0,45,42.0,47,42.0,46,3,1.0222,True
2020-09-19,2020,9,2020-09-14,Normal,42.0,40,42.0,40,42.0,40,3,1.0,False
2020-09-20,2020,9,2020-09-14,Normal,42.0,23,42.0,23,42.0,22,4,0.9565,False
2020-09-21,2020,9,2020-09-21,Normal,42.0,33,42.0,32,42.0,31,6,0.9394,False
2020-09-22,2020,9,2020-09-21,Normal,42.0,42,42.0,48,42.0,45,3,1.0714,True
2020-09-23,2020,9,2020-09-21,Normal,42.0,47,42.0,48,42.0,46,4,0.9787,True
2020-09-24,2020,9,2020-09-21,Normal,42.0,39,42.0,43,42.0,40,3,1.0256,False
2020-09-25,2020,9,2020-09-21,Normal,42.0,48,42.0,46,42.0,43,8,0.8958,True
2020-09-26,2020,9,2020-09-21,Normal,42.0,35,42.0,43,42.0,41,2,1.1714,False
2020-09-27,2020,9,2020-09-21,Normal,42.0,38,42.0,37,42.0,36,4,0.9474,False
2020-09-28,2020,9,2020-09-28,Normal,42.0,39,42.0,41,42.0,38,5,0.9744,False
2020-09-29,2020,9,2020-09-28,Normal,42.0,44,42.0,45,42.0,44,5,1.0,True
2020-09-30,2020,9,2020-09-28,Normal,42.0,41,42.0,44,42.0,42,4,1.0244,True
2020-10-01,2020,10,2020-09-28,Normal,42.0,50,42.0,49,42.0,48,6,0.96,True
2020-10-02,2020,10,2020-09-28,Normal,42.0,35,42.0,40,42.0,39,2,1.1143,False
2020-10-03,2020,10,2020-09-28,Normal,42.0,31,42.0,31,42.0,30,3,0.9677,False
